Model,Covariance Type,Window Index,Mean Return,Forecasted Std
HRP,DCC,44,0.0027111913996253055,0.009035287353184186
ERC,DCC,44,0.0028443782228946323,0.010022505462881217
Naive,N/A,45,0.0010233887159423235,0.015134732536740594
MVP,Historical,45,-0.0004998259116138443,0.008273181200571978
HRP,Historical,45,0.0006834553401002076,0.012226902259492252
ERC,Historical,45,0.0008218662518904646,0.013454026577577822
MVP,GARCH,45,-0.0005162695253664127,0.006341861979447972
HRP,GARCH,45,0.0005142999828273893,0.009082566681556341
ERC,GARCH,45,0.0006959393350752005,0.009851037789073886
MVP,DCC,45,-0.0006844899632920508,0.005997349440957438
HRP,DCC,45,0.0004902433787410828,0.008446342308821462
ERC,DCC,45,0.0006708295195563754,0.009170772503582692
Naive,N/A,46,0.0014706849661105807,0.01511537111813101
MVP,Historical,46,-0.00039587220602277145,0.008271772307072888
HRP,Historical,46,0.0007181877044088413,0.012178893222379068
ERC,Historical,46,0.0010988606368350867,0.013437380507112962
MVP,GARCH,46,-0.00023158632323901684,0.0063652529062646545
HRP,GARCH,46,0.0005885277321384581,0.009001863946442581
